Date,Dayton,Tokyo
2021-02-22,125,178
2021-02-23,118,275
2021-02-24,117,213
2021-02-25,117,340
2021-02-26,108,270
2021-02-27,100,337
2021-02-28,100,329
2021-03-01,92,121
2021-03-02,89,121
2021-03-03,84,316
2021-03-04,81,279
2021-03-05,82,301
2021-03-06,82,293
2021-03-07,82,237
2021-03-08,76,116
2021-03-09,73,290
2021-03-10,71,340
2021-03-11,66,335
2021-03-12,65,304
2021-03-13,61,330
2021-03-14,61,239
2021-03-15,60,175
2021-03-16,58,300
